i;minAvgProfit;avgProfit;giniRisk;m1_prod_P1;m1_prod_P2;m1_prod_P3;m1_prod_P4;m2_prod_P1;m2_prod_P2;m2_prod_P3;m2_prod_P4;m3_prod_P1;m3_prod_P2;m3_prod_P3;m3_prod_P4;m1_stock_P1;m1_stock_P2;m1_stock_P3;m1_stock_P4;m2_stock_P1;m2_stock_P2;m2_stock_P3;m2_stock_P4;m3_stock_P1;m3_stock_P2;m3_stock_P3;m3_stock_P4
1;-600;-600;0;0;0;0;0;0;0;0;0;0;0;0;0;50;50;50;50;50;50;50;50;50;50;50;50
2;-67.59000000000003;-67.19889931518434;9.26551;1;0;0;0;0;1;0;0;10;8;6;34;40;50;44;16;40;42;44;16;50;50;50;50
3;464.82;465.107;19.0047;0;0;0;1;0;0;0;0;23;20;14;64;27;50;36;0;27;30;36;0;50;50;50;50
4;997.23;997.357;29.4848;0;0;0;43;0;0;0;0;36;30;23;57;15;50;27;0;14;20;27;0;50;50;50;50
5;1529.64;1530.25;39.9669;0;0;0;85;0;0;0;0;47;42;31;52;3;50;19;0;3;8;19;0;50;50;50;50
6;2062.05;2062.08;50.8849;3;0;0;120;7;2;0;0;50;51;42;51;0;50;8;0;0;0;8;0;50;50;50;50
7;2594.46;2594.52;62.1001;0;0;0;162;24;13;0;0;50;51;49;50;0;50;1;0;0;0;1;0;50;50;50;50
8;3126.87;3127.18;73.5215;36;0;2;246;2;24;0;0;50;51;50;73;0;50;0;0;0;0;0;0;50;50;50;50
9;3659.28;3659.63;85.1089;44;0;8;248;8;32;1;0;50;53;50;116;0;50;0;0;0;0;0;0;50;50;50;50
10;4191.69;4192.2;96.6978;15;0;17;244;51;0;0;0;50;97;50;160;0;50;0;0;0;0;0;0;50;50;50;50
11;4724.1;4724.19;108.275;79;0;0;77;0;57;24;0;50;52;52;374;0;50;0;0;0;0;0;0;50;50;50;50
12;5256.51;5256.76;119.859;0;0;0;188;93;71;34;0;50;50;50;239;0;50;0;0;0;0;0;0;50;50;50;50
13;5788.92;5789.33;131.455;64;0;42;109;43;81;0;0;50;52;50;436;0;50;0;0;0;0;0;0;50;50;50;50
14;6321.33;6321.9;143.053;2;0;49;192;119;95;1;0;50;50;50;365;0;50;0;0;0;0;0;0;50;50;50;50
15;6853.74;6853.79;154.626;3;0;57;187;132;101;1;0;50;55;50;442;0;50;0;0;0;0;0;0;50;50;50;50
16;7386.15;7386.47;166.79;3;0;114;250;147;120;0;0;50;56;51;450;0;50;0;0;0;0;0;0;50;50;50;50
17;7918.56;7918.79;180.122;165;0;109;190;0;145;2;0;50;53;51;370;0;50;0;0;0;0;0;0;50;50;50;50
18;8450.97;8450.98;194.31;95;0;117;250;85;172;50;0;50;50;56;450;0;50;0;0;0;0;0;0;50;50;50;50
19;8983.38;8983.46;209.32;201;0;146;190;1;191;51;0;50;52;54;450;0;50;0;0;0;0;0;0;50;50;50;50
20;9515.79;9515.8;225.023;288;0;148;250;1;212;81;0;50;50;50;450;0;50;0;0;0;0;0;0;50;50;50;50
21;10048.2;10048.3;241.223;1;0;150;190;236;302;0;0;50;51;160;370;0;50;0;0;0;0;0;0;50;50;50;50
22;10580.6;10580.7;257.65;257;0;109;250;1;0;0;0;50;304;184;450;0;50;0;0;0;0;0;0;50;50;50;50
23;11113;11113.1;274.336;1;0;149;250;274;349;162;0;50;56;50;450;0;50;0;0;0;0;0;0;50;50;50;50
24;11645.4;11645.6;291.421;272;0;150;190;85;1;188;0;50;346;50;450;0;50;0;0;0;0;0;0;50;50;50;50
25;12177.8;12177.9;308.783;270;0;111;190;36;270;0;0;50;99;301;450;0;50;0;0;0;0;0;0;50;50;50;50
26;12710.2;12710.4;326.256;0;0;0;250;324;271;409;0;50;183;80;450;0;50;0;0;0;0;0;0;50;50;50;50
27;13242.7;13242.9;343.752;270;0;148;190;135;0;275;0;50;411;52;450;0;50;0;0;0;0;0;0;50;50;50;50
28;13775.1;13775.2;361.295;0;0;3;250;362;350;0;0;50;160;560;370;0;50;0;0;0;0;0;0;50;50;50;50
29;14307.5;14307.7;378.849;271;0;146;190;176;11;327;0;50;439;52;450;0;50;0;0;0;0;0;0;50;50;50;50
30;14839.9;14840;396.41;347;0;110;190;131;270;482;0;50;266;51;370;0;50;0;0;0;0;0;0;50;50;50;50
31;15372.3;15372.7;414.073;0;0;5;190;417;349;5;0;50;225;530;450;0;50;0;0;0;0;0;0;50;50;50;50
32;15904.7;15904.9;431.837;270;0;110;190;162;270;400;0;50;246;60;370;0;50;0;0;0;0;0;0;50;50;50;50
33;16437.1;16437.2;449.621;270;0;0;190;239;350;72;0;50;269;649;450;0;50;0;0;0;0;0;0;50;50;50;50
34;16969.5;16969.6;467.424;350;0;5;250;190;1;399;0;50;560;227;370;0;50;0;0;0;0;0;0;50;50;50;50
35;17501.9;17502;485.233;349;0;1;250;204;23;129;0;50;691;530;370;0;50;0;0;0;0;0;0;50;50;50;50
36;18034.3;18034.4;503.08;0;0;148;250;610;0;51;0;50;748;530;450;0;50;0;0;0;0;0;0;50;50;50;50
37;18566.8;18566.9;520.949;1;0;150;190;502;0;401;0;50;776;288;450;0;50;0;0;0;0;0;0;50;50;50;50
38;19099.2;19099.2;538.82;1;0;1;250;520;1;499;0;50;803;344;450;0;50;0;0;0;0;0;0;50;50;50;50
39;19631.6;19631.6;556.705;1;0;150;190;672;349;500;0;50;406;261;370;0;50;0;0;0;0;0;0;50;50;50;50
40;20164;20164;574.59;1;0;36;250;693;9;497;0;50;690;363;370;0;50;0;0;0;0;0;0;50;50;50;50
41;20696.4;20696.4;592.504;347;0;2;190;305;34;290;0;50;850;648;450;0;50;0;0;0;0;0;0;50;50;50;50
42;21228.8;21228.8;610.459;271;0;1;190;383;59;499;0;50;850;444;370;0;50;0;0;0;0;0;0;50;50;50;50
43;21761.2;21761.3;628.438;350;0;150;190;338;349;500;0;50;500;362;450;0;50;0;0;0;0;0;0;50;50;50;50
44;22293.6;22293.7;646.432;348;0;148;190;358;296;401;0;50;690;471;450;0;50;0;0;0;0;0;0;50;50;50;50
45;22826;22826.1;664.435;350;0;0;250;374;347;400;0;50;543;527;450;0;50;0;0;0;0;0;0;50;50;50;50
46;23358.4;23358.5;682.428;270;0;149;190;570;145;313;0;50;848;530;450;0;50;0;0;0;0;0;0;50;50;50;50
47;23890.9;23891;700.439;271;0;150;250;591;270;339;0;50;719;650;450;0;50;0;0;0;0;0;0;50;50;50;50
48;24423.3;24423.3;718.467;323;0;150;250;561;258;366;0;50;761;650;370;0;50;0;0;0;0;0;0;50;50;50;50
49;24955.7;24955.8;736.497;350;0;150;250;446;272;498;0;50;850;524;450;0;50;0;0;0;0;0;0;50;50;50;50
50;25488.1;25488.3;755.133;185;0;110;190;700;307;400;0;50;848;530;450;0;50;0;0;0;0;0;0;50;50;50;50
51;26020.5;26020.6;774.872;221;0;150;250;696;263;400;0;50;690;530;450;0;50;0;0;0;0;0;0;50;50;50;50
52;26552.9;26553.9;796.113;270;0;110;190;700;270;500;0;50;690;650;450;0;50;0;0;0;0;0;0;50;50;50;50
